"filename", "language", "TOML", "JSON", "YAML", "Luau", "Markdown", "JSON with Comments", "PostCSS", "TypeScript", "Rust", "Shell Script", "JavaScript", "comment", "blank", "total"
"c:\Users\Dynas\Sparking-Cards\.autorequire.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Dynas\Sparking-Cards\AGENTS.md", "Markdown", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\Dynas\Sparking-Cards\CHANGELOG.md", "Markdown", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 18, 98
"c:\Users\Dynas\Sparking-Cards\Packages\_Index\2jammers_profilestore@0.1.0\profilestore\ProfileStore.luau", "Luau", 0, 0, 0, 1520, 0, 0, 0, 0, 0, 0, 0, 114, 593, 2227
"c:\Users\Dynas\Sparking-Cards\Packages\_Index\2jammers_profilestore@0.1.0\profilestore\ProfileStoreTest.server.luau", "Luau", 0, 0, 0, 498, 0, 0, 0, 0, 0, 0, 0, 38, 235, 771
"c:\Users\Dynas\Sparking-Cards\Packages\_Index\2jammers_profilestore@0.1.0\profilestore\README.md", "Markdown", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 13, 47
"c:\Users\Dynas\Sparking-Cards\Packages\_Index\2jammers_profilestore@0.1.0\profilestore\default.project.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Dynas\Sparking-Cards\Packages\_Index\2jammers_profilestore@0.1.0\profilestore\docs\api.md", "Markdown", 0, 0, 0, 0, 494, 0, 0, 0, 0, 0, 0, 0, 102, 596
"c:\Users\Dynas\Sparking-Cards\Packages\_Index\2jammers_profilestore@0.1.0\profilestore\docs\index.md", "Markdown", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 24, 94
"c:\Users\Dynas\Sparking-Cards\Packages\_Index\2jammers_profilestore@0.1.0\profilestore\docs\troubleshooting\index.md", "Markdown", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 17, 50
"c:\Users\Dynas\Sparking-Cards\Packages\_Index\2jammers_profilestore@0.1.0\profilestore\docs\tutorial\index.md", "Markdown", 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 29, 105
"c:\Users\Dynas\Sparking-Cards\Packages\_Index\2jammers_profilestore@0.1.0\profilestore\mkdocs.yml", "YAML", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 45
"c:\Users\Dynas\Sparking-Cards\Packages\_Index\2jammers_profilestore@0.1.0\profilestore\rokit.toml", "TOML", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 8
"c:\Users\Dynas\Sparking-Cards\Packages\_Index\2jammers_profilestore@0.1.0\profilestore\wally.toml", "TOML", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Dynas\Sparking-Cards\Packages\_Index\anexpia_bufferencoder@1.4.0\bufferencoder\README.md", "Markdown", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 20, 77
"c:\Users\Dynas\Sparking-Cards\Packages\_Index\anexpia_bufferencoder@1.4.0\bufferencoder\aftman.toml", "TOML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 7
